Vardas              Pavarde             ND1   ND2   ND3   ND4   ND5   ND6   ND7   Egz.  
Vardas2964          Pavarde2964         9     8     6     1     6     1     1     1     
Vardas2965          Pavarde2965         8     7     1     5     10    9     6     7     
Vardas2966          Pavarde2966         9     10    9     3     4     4     1     9     
Vardas2967          Pavarde2967         3     3     4     9     5     7     10    5     
Vardas2968          Pavarde2968         10    4     3     7     7     5     8     9     
Vardas2969          Pavarde2969         1     6     5     3     8     1     4     3     
Vardas2970          Pavarde2970         1     1     9     9     6     1     4     4     
Vardas2971          Pavarde2971         1     5     9     6     10    3     10    6     
Vardas2972          Pavarde2972         3     1     6     8     8     2     2     3     
Vardas2973          Pavarde2973         5     5     3     8     6     8     6     8     
Vardas2974          Pavarde2974         6     6     5     1     2     6     7     4     
Vardas2975          Pavarde2975         2     7     1     3     7     5     7     5     
Vardas2976          Pavarde2976         7     8     8     5     8     1     1     7     
Vardas2977          Pavarde2977         10    9     10    3     5     3     2     10    
Vardas2978          Pavarde2978         1     6     5     9     1     3     2     7     
Vardas2979          Pavarde2979         6     9     2     6     4     3     3     5     
Vardas2980          Pavarde2980         8     1     9     1     2     9     9     5     
Vardas2981          Pavarde2981         7     4     10    10    5     2     6     9     
Vardas2982          Pavarde2982         1     9     2     9     7     7     3     7     
Vardas2983          Pavarde2983         5     1     6     3     2     1     2     9     
Vardas2984          Pavarde2984         5     2     2     2     7     1     10    10    
Vardas2985          Pavarde2985         3     1     3     3     6     10    2     7     
Vardas2986          Pavarde2986         3     4     8     4     9     5     4     9     
Vardas2987          Pavarde2987         10    7     3     4     9     10    4     4     
Vardas2988          Pavarde2988         4     7     6     4     5     3     7     8     
Vardas2989          Pavarde2989         9     9     1     5     2     6     9     7     
Vardas2990          Pavarde2990         5     8     2     9     6     5     10    6     
Vardas2991          Pavarde2991         3     1     2     2     2     5     10    7     
Vardas2992          Pavarde2992         10    1     3     7     1     1     10    3     
Vardas2993          Pavarde2993         2     8     8     10    6     10    2     6     
Vardas2994          Pavarde2994         2     9     3     9     5     6     8     2     
Vardas2995          Pavarde2995         3     7     10    2     7     10    6     1     
Vardas2996          Pavarde2996         6     2     5     10    5     8     2     4     
Vardas2997          Pavarde2997         8     10    3     10    6     9     5     8     
Vardas2998          Pavarde2998         4     6     7     9     7     9     10    7     
Vardas2999          Pavarde2999         9     10    5     9     2     2     5     5     
Vardas3000          Pavarde3000         8     6     10    6     5     1     10    1     
Vardas3001          Pavarde3001         1     10    6     10    6     6     5     1     
Vardas3002          Pavarde3002         5     2     2     2     1     4     1     5     
Vardas3003          Pavarde3003         6     1     4     2     9     10    8     6     
Vardas3004          Pavarde3004         5     5     10    4     4     2     8     4     
Vardas3005          Pavarde3005         10    1     1     6     5     7     10    10    
Vardas3006          Pavarde3006         10    7     9     1     8     3     1     2     
Vardas3007          Pavarde3007         5     3     9     4     4     4     9     6     
Vardas3008          Pavarde3008         1     2     7     3     9     2     4     8     
Vardas3009          Pavarde3009         5     10    4     9     9     6     10    1     
Vardas3010          Pavarde3010         10    10    5     1     2     3     6     9     
Vardas3011          Pavarde3011         9     8     10    2     8     7     4     9     
Vardas3012          Pavarde3012         7     3     9     6     3     10    10    8     
Vardas3013          Pavarde3013         9     2     1     9     5     8     5     10    
Vardas3014          Pavarde3014         1     2     8     9     4     9     6     9     
Vardas3015          Pavarde3015         3     8     9     7     4     8     9     1     
Vardas3016          Pavarde3016         1     6     7     6     7     2     2     4     
Vardas3017          Pavarde3017         5     3     10    8     2     2     7     4     
Vardas3018          Pavarde3018         1     5     1     5     7     4     6     2     
Vardas3019          Pavarde3019         1     2     4     10    1     5     2     5     
Vardas3020          Pavarde3020         10    3     3     2     5     1     9     10    
Vardas3021          Pavarde3021         4     7     5     1     3     7     5     3     
Vardas3022          Pavarde3022         5     3     8     1     4     7     6     8     
Vardas3023          Pavarde3023         6     5     9     1     3     3     8     6     
Vardas3024          Pavarde3024         5     7     5     9     7     2     10    6     
Vardas3025          Pavarde3025         5     3     10    6     5     1     7     1     
Vardas3026          Pavarde3026         9     9     7     8     4     6     1     4     
Vardas3027          Pavarde3027         9     10    5     2     5     5     9     10    
Vardas3028          Pavarde3028         1     9     3     8     6     1     5     10    
Vardas3029          Pavarde3029         10    6     1     10    10    6     6     9     
Vardas3030          Pavarde3030         2     6     8     10    8     9     9     6     
Vardas3031          Pavarde3031         3     2     8     4     8     7     8     3     
Vardas3032          Pavarde3032         5     4     9     10    6     9     7     8     
Vardas3033          Pavarde3033         2     7     7     7     1     6     1     10    
Vardas3034          Pavarde3034         4     7     5     9     1     9     9     10    
Vardas3035          Pavarde3035         7     7     9     7     7     6     1     9     
Vardas3036          Pavarde3036         10    8     1     2     2     6     8     10    
Vardas3037          Pavarde3037         1     4     8     5     1     9     10    10    
Vardas3038          Pavarde3038         1     3     2     10    7     7     9     9     
Vardas3039          Pavarde3039         2     5     5     7     1     10    3     5     
Vardas3040          Pavarde3040         3     7     9     4     3     3     6     2     
Vardas3041          Pavarde3041         5     3     2     3     7     5     7     3     
Vardas3042          Pavarde3042         8     6     1     5     7     5     1     3     
Vardas3043          Pavarde3043         3     1     6     3     2     9     5     7     
Vardas3044          Pavarde3044         2     8     4     2     2     5     7     10    
Vardas3045          Pavarde3045         5     2     3     5     3     6     2     9     
Vardas3046          Pavarde3046         2     4     3     7     1     8     6     8     
Vardas3047          Pavarde3047         10    8     8     9     5     1     1     5     
Vardas3048          Pavarde3048         6     2     2     7     2     4     7     4     
Vardas3049          Pavarde3049         8     5     5     3     7     8     5     8     
Vardas3050          Pavarde3050         5     10    8     2     1     3     1     9     
Vardas3051          Pavarde3051         6     6     1     8     6     9     6     2     
Vardas3052          Pavarde3052         10    5     4     6     9     3     10    3     
Vardas3053          Pavarde3053         7     10    4     10    5     1     1     9     
Vardas3054          Pavarde3054         1     5     9     4     4     2     10    5     
Vardas3055          Pavarde3055         1     3     1     4     4     7     10    8     
Vardas3056          Pavarde3056         7     2     3     6     10    10    7     8     
Vardas3057          Pavarde3057         5     9     8     2     5     6     7     3     
Vardas3058          Pavarde3058         3     3     3     8     9     3     2     5     
Vardas3059          Pavarde3059         7     6     1     9     5     3     9     8     
Vardas3060          Pavarde3060         4     4     3     7     7     6     10    7     
Vardas3061          Pavarde3061         4     2     4     9     2     6     3     10    
Vardas3062          Pavarde3062         3     7     6     10    1     3     3     2     
Vardas3063          Pavarde3063         7     3     1     8     6     8     8     3     
Vardas3064          Pavarde3064         4     3     6     5     6     2     2     4     
Vardas3065          Pavarde3065         2     7     4     8     6     8     2     10    
Vardas3066          Pavarde3066         8     4     4     4     9     9     6     1     
Vardas3067          Pavarde3067         4     10    6     5     6     5     5     10    
Vardas3068          Pavarde3068         8     6     10    8     10    4     4     6     
Vardas3069          Pavarde3069         1     1     8     3     4     4     6     6     
Vardas3070          Pavarde3070         9     2     2     5     7     2     3     7     
Vardas3071          Pavarde3071         2     3     10    6     9     10    6     9     
Vardas3072          Pavarde3072         10    6     3     2     6     9     10    1     
Vardas3073          Pavarde3073         8     7     10    5     6     5     1     6     
Vardas3074          Pavarde3074         5     4     5     10    9     1     8     9     
Vardas3075          Pavarde3075         9     5     10    4     6     4     7     6     
Vardas3076          Pavarde3076         9     1     6     1     5     10    10    3     
Vardas3077          Pavarde3077         3     8     6     6     10    5     1     6     
Vardas3078          Pavarde3078         5     5     9     8     1     6     5     4     
Vardas3079          Pavarde3079         6     5     4     5     9     6     2     3     
Vardas3080          Pavarde3080         4     10    7     3     4     9     9     10    
Vardas3081          Pavarde3081         10    10    10    6     9     4     4     3     
Vardas3082          Pavarde3082         4     3     9     10    2     5     1     8     
Vardas3083          Pavarde3083         1     3     5     3     1     4     4     1     
Vardas3084          Pavarde3084         4     9     10    4     3     5     2     7     
Vardas3085          Pavarde3085         9     3     4     2     4     6     1     5     
Vardas3086          Pavarde3086         7     6     1     9     5     5     6     5     
Vardas3087          Pavarde3087         3     4     9     7     8     3     6     5     
Vardas3088          Pavarde3088         6     3     1     2     10    5     1     5     
Vardas3089          Pavarde3089         10    4     4     10    3     10    10    7     
Vardas3090          Pavarde3090         10    1     1     8     9     7     8     7     
Vardas3091          Pavarde3091         6     3     3     9     5     2     8     10    
Vardas3092          Pavarde3092         9     7     4     6     10    1     7     8     
Vardas3093          Pavarde3093         2     2     4     8     4     4     6     1     
Vardas3094          Pavarde3094         6     1     9     6     7     6     10    3     
Vardas3095          Pavarde3095         2     10    7     10    5     9     7     4     
Vardas3096          Pavarde3096         6     1     7     9     1     2     10    10    
Vardas3097          Pavarde3097         3     9     5     9     8     8     2     3     
Vardas3098          Pavarde3098         8     7     5     2     5     4     4     8     
Vardas3099          Pavarde3099         9     8     4     4     7     4     9     6     
Vardas3100          Pavarde3100         4     2     10    4     10    10    6     3     
Vardas3101          Pavarde3101         10    6     1     4     9     5     2     10    
Vardas3102          Pavarde3102         7     10    5     4     9     5     4     8     
Vardas3103          Pavarde3103         9     9     6     9     8     10    2     4     
Vardas3104          Pavarde3104         4     9     1     5     4     10    7     8     
Vardas3105          Pavarde3105         10    6     10    6     4     10    6     6     
Vardas3106          Pavarde3106         6     4     6     8     10    1     8     9     
Vardas3107          Pavarde3107         7     6     5     10    3     8     2     2     
Vardas3108          Pavarde3108         6     8     4     6     10    5     5     4     
Vardas3109          Pavarde3109         5     5     10    8     6     1     10    3     
Vardas3110          Pavarde3110         4     7     10    8     2     2     4     1     
Vardas3111          Pavarde3111         2     6     9     9     3     1     1     7     
Vardas3112          Pavarde3112         3     3     2     10    3     9     4     3     
Vardas3113          Pavarde3113         7     6     5     1     2     9     6     6     
Vardas3114          Pavarde3114         10    10    8     7     10    10    8     5     
Vardas3115          Pavarde3115         1     3     6     1     8     8     5     7     
Vardas3116          Pavarde3116         4     4     1     2     9     3     6     3     
Vardas3117          Pavarde3117         10    6     1     10    1     5     5     3     
Vardas3118          Pavarde3118         3     4     3     8     9     6     4     3     
Vardas3119          Pavarde3119         8     2     2     4     5     5     3     8     
Vardas3120          Pavarde3120         2     1     6     9     1     9     3     2     
Vardas3121          Pavarde3121         2     3     8     8     10    7     8     4     
Vardas3122          Pavarde3122         9     7     3     2     10    1     5     9     
Vardas3123          Pavarde3123         10    4     9     10    9     10    3     10    
Vardas3124          Pavarde3124         2     4     10    1     9     2     10    4     
Vardas3125          Pavarde3125         4     4     1     10    6     7     5     8     
Vardas3126          Pavarde3126         5     6     2     6     6     4     3     6     
Vardas3127          Pavarde3127         6     9     10    4     7     6     6     10    
Vardas3128          Pavarde3128         9     5     5     6     7     9     7     6     
Vardas3129          Pavarde3129         8     2     2     6     1     2     9     9     
Vardas3130          Pavarde3130         5     4     8     3     8     9     2     5     
Vardas3131          Pavarde3131         3     3     5     8     2     10    5     5     
Vardas3132          Pavarde3132         4     6     1     10    4     10    6     1     
Vardas3133          Pavarde3133         9     7     3     6     4     1     8     4     
Vardas3134          Pavarde3134         5     3     3     2     5     3     4     4     
Vardas3135          Pavarde3135         10    3     6     10    1     6     10    5     
Vardas3136          Pavarde3136         9     1     5     9     3     8     7     9     
Vardas3137          Pavarde3137         9     9     6     10    2     1     2     9     
Vardas3138          Pavarde3138         8     2     8     4     1     8     3     3     
Vardas3139          Pavarde3139         1     10    1     9     3     7     3     10    
Vardas3140          Pavarde3140         3     6     3     7     9     2     10    4     
Vardas3141          Pavarde3141         3     3     7     5     4     1     3     10    
Vardas3142          Pavarde3142         9     10    2     2     9     10    3     9     
Vardas3143          Pavarde3143         1     7     6     8     2     10    4     7     
Vardas3144          Pavarde3144         9     9     2     6     5     6     5     5     
Vardas3145          Pavarde3145         3     6     4     8     5     3     1     4     
Vardas3146          Pavarde3146         4     9     3     8     10    5     2     4     
Vardas3147          Pavarde3147         2     9     5     8     1     5     7     8     
Vardas3148          Pavarde3148         10    2     10    4     1     5     4     6     
Vardas3149          Pavarde3149         1     9     1     1     2     5     5     1     
Vardas3150          Pavarde3150         10    5     6     2     7     10    6     4     
Vardas3151          Pavarde3151         1     4     4     5     5     3     7     1     
Vardas3152          Pavarde3152         8     8     4     7     9     2     6     9     
Vardas3153          Pavarde3153         4     3     2     4     10    8     5     4     
Vardas3154          Pavarde3154         1     9     1     5     9     3     2     7     
Vardas3155          Pavarde3155         8     6     1     5     7     10    10    7     
Vardas3156          Pavarde3156         9     8     10    6     10    5     9     5     
Vardas3157          Pavarde3157         4     4     5     1     8     1     2     7     
Vardas3158          Pavarde3158         10    8     2     5     9     2     2     2     
Vardas3159          Pavarde3159         4     6     7     6     4     7     6     6     
Vardas3160          Pavarde3160         1     8     4     4     2     5     7     2     
Vardas3161          Pavarde3161         4     8     7     7     5     8     5     10    
Vardas3162          Pavarde3162         1     9     5     10    2     10    5     10    
Vardas3163          Pavarde3163         8     5     2     2     1     9     3     2     
Vardas3164          Pavarde3164         2     3     4     4     4     1     4     7     
Vardas3165          Pavarde3165         8     10    8     4     9     8     4     10    
Vardas3166          Pavarde3166         5     7     8     5     8     10    2     5     
Vardas3167          Pavarde3167         2     9     7     7     9     4     3     10    
Vardas3168          Pavarde3168         5     8     3     10    1     3     4     2     
Vardas3169          Pavarde3169         7     9     7     4     3     10    1     9     
Vardas3170          Pavarde3170         7     2     10    4     2     10    3     5     
Vardas3171          Pavarde3171         8     5     9     9     9     9     8     8     
Vardas3172          Pavarde3172         4     1     3     6     4     9     5     1     
Vardas3173          Pavarde3173         10    7     9     8     4     8     8     1     
Vardas3174          Pavarde3174         10    6     9     10    10    1     4     6     
Vardas3175          Pavarde3175         3     4     3     10    6     1     4     4     
Vardas3176          Pavarde3176         8     5     5     3     4     8     5     7     
Vardas3177          Pavarde3177         6     1     5     1     1     7     3     3     
Vardas3178          Pavarde3178         9     6     8     7     9     2     6     5     
Vardas3179          Pavarde3179         5     8     6     10    6     4     5     1     
Vardas3180          Pavarde3180         6     2     6     8     9     5     6     10    
Vardas3181          Pavarde3181         6     4     2     3     5     6     1     5     
Vardas3182          Pavarde3182         8     7     2     1     1     1     4     8     
Vardas3183          Pavarde3183         5     8     4     5     10    10    1     10    
Vardas3184          Pavarde3184         7     9     4     8     8     8     8     8     
Vardas3185          Pavarde3185         5     8     8     2     1     5     9     7     
Vardas3186          Pavarde3186         8     3     5     7     10    7     10    5     
Vardas3187          Pavarde3187         2     5     4     3     9     3     8     9     
Vardas3188          Pavarde3188         10    7     5     3     9     6     4     2     
Vardas3189          Pavarde3189         10    5     2     8     6     1     9     2     
Vardas3190          Pavarde3190         1     5     5     7     10    10    7     1     
Vardas3191          Pavarde3191         5     9     1     6     4     6     9     2     
Vardas3192          Pavarde3192         6     8     1     9     8     10    10    3     
Vardas3193          Pavarde3193         9     4     2     9     4     9     4     5     
Vardas3194          Pavarde3194         9     10    6     1     6     3     1     7     
Vardas3195          Pavarde3195         3     9     3     9     6     7     4     2     
Vardas3196          Pavarde3196         10    9     2     6     10    9     1     2     
Vardas3197          Pavarde3197         1     9     3     3     10    9     2     4     
Vardas3198          Pavarde3198         9     8     2     10    6     5     2     1     
Vardas3199          Pavarde3199         1     3     5     5     2     2     1     7     
Vardas3200          Pavarde3200         2     5     10    4     2     9     6     1     
Vardas3201          Pavarde3201         6     6     5     4     7     5     3     5     
Vardas3202          Pavarde3202         10    2     2     3     2     6     2     3     
Vardas3203          Pavarde3203         4     6     1     2     9     10    10    3     
Vardas3204          Pavarde3204         1     10    3     5     7     2     4     8     
Vardas3205          Pavarde3205         2     3     5     6     6     10    9     4     
Vardas3206          Pavarde3206         10    5     2     5     10    5     9     8     
Vardas3207          Pavarde3207         9     5     1     2     7     10    3     2     
Vardas3208          Pavarde3208         7     5     4     1     6     9     4     9     
Vardas3209          Pavarde3209         6     3     10    7     2     5     10    9     
Vardas3210          Pavarde3210         3     7     3     5     9     10    9     2     
Vardas3211          Pavarde3211         10    10    7     2     9     10    5     1     
Vardas3212          Pavarde3212         2     8     3     2     3     9     4     4     
Vardas3213          Pavarde3213         3     4     8     9     2     9     5     3     
Vardas3214          Pavarde3214         10    4     1     6     3     8     9     7     
Vardas3215          Pavarde3215         6     8     6     10    1     6     5     4     
Vardas3216          Pavarde3216         7     8     8     2     10    3     3     6     
Vardas3217          Pavarde3217         7     7     6     1     7     8     2     9     
Vardas3218          Pavarde3218         1     3     7     1     2     10    1     1     
Vardas3219          Pavarde3219         4     9     4     8     9     9     7     7     
Vardas3220          Pavarde3220         7     8     9     2     4     9     8     1     
Vardas3221          Pavarde3221         6     9     8     8     7     6     6     3     
Vardas3222          Pavarde3222         3     9     7     1     8     1     4     9     
Vardas3223          Pavarde3223         1     2     4     6     4     2     6     4     
Vardas3224          Pavarde3224         2     2     10    7     5     8     7     5     
Vardas3225          Pavarde3225         7     7     7     6     7     5     4     3     
Vardas3226          Pavarde3226         6     5     1     9     4     5     3     7     
Vardas3227          Pavarde3227         2     10    4     7     7     10    2     3     
Vardas3228          Pavarde3228         8     1     3     6     4     1     9     10    
Vardas3229          Pavarde3229         8     3     5     3     3     3     4     6     
Vardas3230          Pavarde3230         6     4     6     1     2     4     2     9     
Vardas3231          Pavarde3231         10    4     9     2     1     4     5     9     
Vardas3232          Pavarde3232         10    9     6     9     6     4     6     1     
Vardas3233          Pavarde3233         6     1     9     4     6     2     10    4     
Vardas3234          Pavarde3234         8     10    10    7     7     8     9     1     
Vardas3235          Pavarde3235         8     6     9     5     9     2     1     7     
Vardas3236          Pavarde3236         2     7     6     2     6     7     6     10    
Vardas3237          Pavarde3237         6     7     10    3     6     6     6     3     
Vardas3238          Pavarde3238         9     1     2     5     7     1     8     3     
Vardas3239          Pavarde3239         2     6     6     8     5     2     10    6     
Vardas3240          Pavarde3240         3     6     1     6     1     9     6     5     
Vardas3241          Pavarde3241         1     1     1     10    6     5     4     6     
Vardas3242          Pavarde3242         1     6     9     4     5     5     3     2     
Vardas3243          Pavarde3243         7     5     3     5     10    9     2     4     
Vardas3244          Pavarde3244         7     9     8     8     7     7     8     5     
Vardas3245          Pavarde3245         6     5     7     8     5     3     7     8     
Vardas3246          Pavarde3246         6     4     7     4     4     6     1     3     
Vardas3247          Pavarde3247         9     2     9     5     3     4     2     5     
Vardas3248          Pavarde3248         2     2     4     1     5     4     1     3     
Vardas3249          Pavarde3249         2     7     8     3     9     9     6     6     
Vardas3250          Pavarde3250         3     9     7     3     9     10    6     3     
Vardas3251          Pavarde3251         5     4     6     7     6     10    2     10    
Vardas3252          Pavarde3252         8     7     9     3     7     6     1     5     
Vardas3253          Pavarde3253         10    7     9     7     3     10    7     4     
Vardas3254          Pavarde3254         6     2     4     3     3     3     1     2     
Vardas3255          Pavarde3255         5     3     7     2     1     9     7     5     
Vardas3256          Pavarde3256         5     6     1     4     9     7     3     7     
Vardas3257          Pavarde3257         4     5     3     3     5     7     5     4     
Vardas3258          Pavarde3258         8     6     5     6     5     2     2     8     
Vardas3259          Pavarde3259         3     6     2     7     7     5     8     10    
Vardas3260          Pavarde3260         8     3     2     6     6     3     1     4     
Vardas3261          Pavarde3261         1     8     10    9     4     8     2     8     
Vardas3262          Pavarde3262         8     1     9     9     6     2     8     10    
Vardas3263          Pavarde3263         1     6     9     3     1     8     7     2     
Vardas3264          Pavarde3264         4     8     4     7     3     10    5     2     
Vardas3265          Pavarde3265         9     7     5     4     10    8     2     10    
Vardas3266          Pavarde3266         5     8     2     5     6     3     5     7     
Vardas3267          Pavarde3267         2     7     4     9     5     8     2     3     
Vardas3268          Pavarde3268         1     10    4     3     5     10    3     1     
Vardas3269          Pavarde3269         8     7     2     10    10    7     1     6     
Vardas3270          Pavarde3270         8     4     3     5     2     8     6     8     
Vardas3271          Pavarde3271         10    1     5     4     1     5     10    6     
Vardas3272          Pavarde3272         8     6     4     2     1     1     7     3     
Vardas3273          Pavarde3273         5     2     9     9     9     1     9     4     
Vardas3274          Pavarde3274         10    3     6     3     3     2     9     9     
Vardas3275          Pavarde3275         9     5     10    9     8     9     4     7     
Vardas3276          Pavarde3276         5     9     8     6     9     1     10    7     
Vardas3277          Pavarde3277         3     6     3     6     4     6     1     10    
Vardas3278          Pavarde3278         10    9     9     7     4     1     1     6     
Vardas3279          Pavarde3279         5     4     5     8     10    2     4     4     
Vardas3280          Pavarde3280         10    9     8     7     3     8     3     2     
Vardas3281          Pavarde3281         10    10    4     7     8     9     1     2     
Vardas3282          Pavarde3282         2     5     8     2     2     2     6     3     
Vardas3283          Pavarde3283         5     5     10    9     4     8     1     6     
Vardas3284          Pavarde3284         9     1     10    10    2     7     6     4     
Vardas3285          Pavarde3285         6     9     1     9     5     10    10    1     
Vardas3286          Pavarde3286         7     6     3     10    10    1     9     6     
Vardas3287          Pavarde3287         6     6     10    3     7     6     7     5     
Vardas3288          Pavarde3288         6     5     6     6     6     1     4     1     
Vardas3289          Pavarde3289         10    1     10    10    10    7     5     10    
Vardas3290          Pavarde3290         4     1     6     3     1     9     10    3     
Vardas3291          Pavarde3291         1     1     9     6     6     9     10    1     
Vardas3292          Pavarde3292         10    3     8     8     10    9     7     5     
Vardas3293          Pavarde3293         10    9     6     4     1     7     4     10    
Vardas3294          Pavarde3294         6     2     7     6     1     3     6     8     
Vardas3295          Pavarde3295         5     4     8     4     10    8     10    5     
Vardas3296          Pavarde3296         3     7     2     10    5     9     3     9     
Vardas3297          Pavarde3297         7     4     1     10    2     9     3     9     
Vardas3298          Pavarde3298         2     4     10    1     1     9     2     6     
Vardas3299          Pavarde3299         4     1     4     4     3     9     3     10    
Vardas3300          Pavarde3300         5     6     6     4     4     9     8     8     
Vardas3301          Pavarde3301         4     4     5     6     2     5     4     9     
Vardas3302          Pavarde3302         9     4     1     3     9     6     9     4     
Vardas3303          Pavarde3303         6     8     9     6     8     4     1     6     
Vardas3304          Pavarde3304         4     10    7     7     6     2     10    6     
Vardas3305          Pavarde3305         8     8     6     8     8     4     3     7     
Vardas3306          Pavarde3306         6     2     7     6     6     9     10    2     
Vardas3307          Pavarde3307         6     3     5     6     9     4     10    7     
Vardas3308          Pavarde3308         5     5     9     10    3     9     2     7     
Vardas3309          Pavarde3309         8     1     6     8     10    1     5     2     
Vardas3310          Pavarde3310         1     3     6     4     4     10    1     6     
Vardas3311          Pavarde3311         4     2     5     5     9     4     8     3     
Vardas3312          Pavarde3312         5     4     7     10    10    1     2     9     
Vardas3313          Pavarde3313         3     5     6     9     4     10    10    7     
Vardas3314          Pavarde3314         1     7     2     2     8     2     3     3     
Vardas3315          Pavarde3315         7     7     6     6     10    10    6     10    
Vardas3316          Pavarde3316         5     2     2     3     7     2     5     1     
Vardas3317          Pavarde3317         6     9     10    4     7     3     7     9     
Vardas3318          Pavarde3318         2     1     9     6     7     2     10    9     
Vardas3319          Pavarde3319         4     1     4     5     3     7     2     7     
Vardas3320          Pavarde3320         2     9     4     9     10    10    4     7     
Vardas3321          Pavarde3321         7     4     3     9     2     9     8     1     
Vardas3322          Pavarde3322         3     8     7     10    5     4     6     8     
Vardas3323          Pavarde3323         4     3     6     6     7     4     9     9     
Vardas3324          Pavarde3324         6     10    3     10    4     9     9     7     
Vardas3325          Pavarde3325         7     2     3     8     7     7     4     6     
Vardas3326          Pavarde3326         4     8     4     9     9     8     3     1     
Vardas3327          Pavarde3327         4     8     8     3     10    2     2     2     
Vardas3328          Pavarde3328         9     2     2     8     4     3     4     8     
Vardas3329          Pavarde3329         1     1     9     6     3     10    3     9     
Vardas3330          Pavarde3330         10    6     4     2     1     1     1     4     
Vardas3331          Pavarde3331         9     8     4     9     1     3     5     8     
Vardas3332          Pavarde3332         2     1     5     3     5     10    1     8     
Vardas3333          Pavarde3333         2     10    7     5     2     3     7     7     
Vardas3334          Pavarde3334         2     2     10    4     6     8     10    3     
Vardas3335          Pavarde3335         2     3     2     4     4     5     4     1     
Vardas3336          Pavarde3336         3     3     1     7     8     10    10    4     
Vardas3337          Pavarde3337         3     10    3     5     6     4     9     10    
Vardas3338          Pavarde3338         6     1     4     1     8     2     6     7     
Vardas3339          Pavarde3339         3     4     4     8     10    1     10    8     
Vardas3340          Pavarde3340         3     3     4     6     7     9     3     2     
Vardas3341          Pavarde3341         1     8     8     9     5     5     3     2     
Vardas3342          Pavarde3342         9     4     4     1     6     9     3     8     
Vardas3343          Pavarde3343         7     4     10    2     9     8     1     10    
Vardas3344          Pavarde3344         7     2     7     4     2     7     8     10    
Vardas3345          Pavarde3345         1     9     6     5     10    9     2     5     
Vardas3346          Pavarde3346         1     3     6     10    3     5     8     3     
Vardas3347          Pavarde3347         1     10    7     8     10    7     8     5     
Vardas3348          Pavarde3348         4     1     6     4     4     7     4     7     
Vardas3349          Pavarde3349         8     5     4     5     7     3     10    10    
Vardas3350          Pavarde3350         1     7     10    8     7     2     5     6     
Vardas3351          Pavarde3351         4     1     3     3     2     8     7     7     
Vardas3352          Pavarde3352         9     9     9     1     1     4     5     9     
Vardas3353          Pavarde3353         3     8     2     10    5     7     8     1     
Vardas3354          Pavarde3354         9     1     6     10    5     3     3     5     
Vardas3355          Pavarde3355         7     1     7     7     8     2     1     4     
Vardas3356          Pavarde3356         8     6     6     10    10    5     5     5     
Vardas3357          Pavarde3357         2     5     5     5     4     4     2     2     
Vardas3358          Pavarde3358         8     3     8     6     7     2     5     1     
Vardas3359          Pavarde3359         7     10    8     4     1     5     6     1     
Vardas3360          Pavarde3360         2     10    6     3     10    2     8     5     
Vardas3361          Pavarde3361         2     5     9     9     3     7     2     6     
Vardas3362          Pavarde3362         9     10    8     4     10    7     3     10    
Vardas3363          Pavarde3363         7     1     2     3     10    8     10    4     
Vardas3364          Pavarde3364         7     8     3     2     8     7     2     7     
Vardas3365          Pavarde3365         4     8     2     6     3     6     2     10    
Vardas3366          Pavarde3366         1     5     3     4     8     6     3     7     
Vardas3367          Pavarde3367         1     3     3     10    4     6     3     1     
Vardas3368          Pavarde3368         4     3     6     6     9     9     5     2     
Vardas3369          Pavarde3369         9     1     10    8     3     10    6     4     
Vardas3370          Pavarde3370         5     4     7     3     8     4     6     10    
Vardas3371          Pavarde3371         6     8     3     4     3     7     6     7     
Vardas3372          Pavarde3372         5     9     6     4     7     3     9     6     
Vardas3373          Pavarde3373         6     1     9     9     10    4     5     6     
Vardas3374          Pavarde3374         7     4     1     5     3     5     9     7     
Vardas3375          Pavarde3375         6     2     4     5     2     10    1     1     
Vardas3376          Pavarde3376         7     3     5     5     5     4     1     5     
Vardas3377          Pavarde3377         8     6     6     1     5     4     1     1     
Vardas3378          Pavarde3378         4     7     6     4     6     1     10    3     
Vardas3379          Pavarde3379         9     8     3     7     2     9     1     1     
Vardas3380          Pavarde3380         3     2     5     1     5     6     1     2     
Vardas3381          Pavarde3381         6     1     6     9     7     9     9     3     
Vardas3382          Pavarde3382         7     8     10    2     10    6     6     10    
Vardas3383          Pavarde3383         4     4     6     5     2     7     2     5     
Vardas3384          Pavarde3384         1     2     2     8     10    7     6     2     
Vardas3385          Pavarde3385         4     10    7     9     10    1     7     10    
Vardas3386          Pavarde3386         5     8     9     1     4     1     1     4     
Vardas3387          Pavarde3387         8     4     1     3     3     5     5     1     
Vardas3388          Pavarde3388         6     8     4     10    10    7     1     8     
Vardas3389          Pavarde3389         9     4     4     3     9     5     2     6     
Vardas3390          Pavarde3390         4     3     8     2     1     9     5     2     
Vardas3391          Pavarde3391         9     8     9     5     6     5     2     7     
Vardas3392          Pavarde3392         4     5     5     7     6     8     4     7     
Vardas3393          Pavarde3393         10    10    3     5     4     10    2     6     
Vardas3394          Pavarde3394         2     10    10    4     7     1     2     6     
Vardas3395          Pavarde3395         1     7     4     8     4     8     1     3     
Vardas3396          Pavarde3396         6     7     7     3     7     8     5     10    
Vardas3397          Pavarde3397         4     8     8     2     3     4     1     9     
Vardas3398          Pavarde3398         7     5     9     10    5     7     4     6     
Vardas3399          Pavarde3399         9     2     5     2     9     3     9     7     
